,Unnamed: 0,ppt_mean,soil_mean,tmax_mean,tmin_mean
135402,135402,74.995834,53.404167,23.620836,12.995419
26517,26517,39.0125,19.1,21.114586,7.837501
125088,125088,74.995834,53.404167,23.620836,12.995419
106513,106513,93.6875,77.5375,22.940002,12.382502
43619,43619,47.679165,20.65,19.001669,9.500002
57031,57031,74.9875,48.858334,23.590837,12.154169
45592,45592,65.19583,30.133333,24.208752,11.546668
38665,38665,62.966667,53.225,18.553751,6.7654176
2188,2188,42.9875,14.15,22.222086,11.142501
6767,6767,71.729164,112.5875,19.950418,8.880002
87869,87869,74.995834,53.404167,23.620836,12.995419
50555,50555,87.375,67.5375,23.012085,12.175418
12734,12734,49.454166,11.658334,20.790836,8.172502
91294,91294,74.995834,53.404167,23.620836,12.995419
73851,73851,93.6875,77.5375,22.940002,12.382502
73694,73694,50.291668,6.4666667,25.194584,10.4712515
80878,80878,74.995834,53.404167,23.620836,12.995419
144512,144512,45.2375,10.620833,20.532919,9.217085
53705,53705,120.82917,124.770836,24.356253,13.00917
35139,35139,81.9125,144.92084,21.597084,12.073751
105083,105083,62.179165,22.683332,19.888334,10.812502
118004,118004,69.82083,40.570835,23.81125,12.059585
66366,66366,42.433334,10.595834,19.395834,10.373336
113507,113507,61.270832,30.041666,18.432085,11.786668
15425,15425,56.675,25.158333,25.161253,11.484585
133836,133836,86.57083,132.79167,29.341253,19.452919
31551,31551,90.3875,58.9,20.571253,11.195418
3954,3954,88.73333,97.54583,22.749584,12.572084
133145,133145,89.79583,71.191666,22.610836,11.745419
15749,15749,88.691666,98.95,22.735834,12.732919
85321,85321,74.71667,51.1375,21.892504,9.103334
26173,26173,93.6875,77.5375,22.940002,12.382502
20047,20047,93.6875,77.5375,22.940002,12.382502
128191,128191,89.84583,136.2625,14.485418,3.253751
36343,36343,38.041668,11.229167,22.136253,11.680835
55188,55188,66.3875,63.616665,20.297503,9.800419
49253,49253,93.6875,77.5375,22.940002,12.382502
15207,15207,94.35,133.16667,26.04917,15.132085
142438,142438,53.3,16.575,20.87167,8.751668
140223,140223,75.22083,58.741665,19.350416,7.8233347
59398,59398,69.67083,48.295834,23.733753,11.4104185
1377,1377,50.6125,16.1875,22.747501,8.082086
65853,65853,37.795834,3.6,20.132502,10.257084
91450,91450,95.10833,79.620834,23.22542,12.870001
130389,130389,74.995834,53.404167,23.620836,12.995419
37236,37236,111.88333,119.1375,24.40667,15.140002
23628,23628,55.4125,59.841667,24.416668,13.272084
103505,103505,75.22083,58.741665,19.350416,7.8233347
147943,147943,60.15,17.120832,20.539585,6.8325014
111870,111870,84.941666,66.75833,23.271667,12.752918
80980,80980,88.1625,114.558334,24.016254,12.094585
109009,109009,86.7,79.975,14.184585,3.0383344
62113,62113,175.4875,277.91666,29.380835,20.758753
59730,59730,50.429165,14.720834,20.669586,6.998335
63479,63479,63.170834,35.4625,23.960419,10.928752
19154,19154,65.50833,56.2625,20.030418,8.872918
30523,30523,45.683334,12.966666,20.548336,7.016251
139732,139732,83.416664,137.72917,21.846252,12.447085
66855,66855,75.933334,43.158333,23.34792,10.196668
67814,67814,93.40833,81.40833,23.192919,13.020835
124108,124108,97.17083,123.729164,23.744585,13.388334
78303,78303,90.77917,75.104164,23.066668,12.8358345
127232,127232,120.9,151.6625,19.370003,7.9383345
14324,14324,196.09166,302.38333,28.900835,20.220003
143782,143782,74.995834,53.404167,23.620836,12.995419
21530,21530,69.691666,43.591667,23.299168,11.079167
64259,64259,49.366665,28.6375,22.358334,9.336251
142487,142487,64.104164,18.983334,20.625835,8.87125
93077,93077,46.083332,22.654167,17.580835,4.1183343
61346,61346,49.425,29.2625,22.544584,9.494167
69130,69130,64.916664,64.995834,24.283752,12.346667
38955,38955,101.1375,84.291664,23.290834,13.450835
110398,110398,83.416664,137.72917,21.846252,12.447085
62248,62248,53.275,17.916666,21.2175,7.244584
100780,100780,107.49167,112.375,24.411251,14.790418
14481,14481,93.6875,77.5375,22.940002,12.382502
21299,21299,55.4125,59.841667,24.416668,13.272084
47819,47819,55.4125,59.841667,24.416668,13.272084
58449,58449,175.4875,277.91666,29.380835,20.758753
63039,63039,108.59583,107.791664,24.645836,14.281669
71770,71770,73.583336,115.99167,19.892918,8.883334
123583,123583,74.995834,53.404167,23.620836,12.995419
49573,49573,41.654167,15.3625,20.83875,8.353751
41936,41936,103.433334,109.17917,24.785835,14.985835
90576,90576,105.76667,106.55,24.575003,14.203752
121715,121715,43.391666,8.9625,20.452503,9.955001
147620,147620,121.10833,137.5625,24.975836,14.959585
73852,73852,54.4625,58.495834,24.615835,13.185419
22156,22156,100.729164,135.12083,23.390837,13.622086
42814,42814,78.7875,74.40833,19.652086,7.046668
27957,27957,54.4625,58.495834,24.615835,13.185419
70695,70695,152.09584,150.36667,22.269585,11.354169
102335,102335,115.03333,131.1125,24.422087,13.028335
112390,112390,52.120834,30.079166,22.21917,9.173751
32958,32958,82.42083,58.216667,22.919586,11.555835
61832,61832,63.808334,59.191666,17.176668,5.435835
81165,81165,89.84583,136.2625,14.485418,3.253751
28168,28168,54.1,58.3875,24.762918,12.954585
146438,146438,58.045834,18.045834,20.678751,8.7525015
93825,93825,89.620834,93.70417,22.275002,12.024585
145093,145093,90.166664,83.825,24.942085,13.756252
98191,98191,74.675,67.28333,23.478336,12.482502
69906,69906,113.3375,137.60417,25.483753,15.633335
76425,76425,75.933334,43.158333,23.34792,10.196668
5440,5440,92.3,96.375,20.874584,8.297917
5012,5012,129.0875,148.51666,24.700418,14.726252
57630,57630,49.675,18.916666,22.17625,10.730001
37868,37868,37.920834,11.229167,22.740002,11.576669
95011,95011,62.475,37.5375,20.174587,11.074168
80120,80120,118.1875,126.24167,24.393335,14.249585
63933,63933,87.375,67.5375,23.012085,12.175418
2894,2894,49.079166,18.3125,19.93792,7.184168
36961,36961,64.38333,58.8875,20.488752,10.059585
55152,55152,55.4125,59.841667,24.416668,13.272084
18073,18073,88.90417,78.675,23.24292,13.779169
16656,16656,55.4125,59.841667,24.416668,13.272084
72792,72792,111.941666,136.175,25.546253,15.322919
127314,127314,74.995834,53.404167,23.620836,12.995419
113095,113095,74.01667,24.6625,19.422918,10.225835
55907,55907,53.795834,49.404167,24.751253,12.317919
26961,26961,56.033333,64.425,24.46292,13.110418
68891,68891,55.870834,25.8875,16.860834,7.648335
9923,9923,41.525,8.416667,20.265833,9.660002
39497,39497,65.95,89.70417,20.037502,9.563751
17264,17264,53.795834,49.404167,24.751253,12.317919
5146,5146,62.141666,36.554165,20.783333,11.088336
26963,26963,99.45,84.875,22.971252,12.827917
142988,142988,49.791668,26.020834,20.241251,10.632918
22302,22302,179.74167,380.04584,28.882086,20.092918
62785,62785,88.73333,97.54583,22.749584,12.572084
84697,84697,84.90833,69.59583,25.702917,13.319584
32031,32031,52.3625,20.8375,18.783752,5.660835
106554,106554,70.25,53.241665,22.970419,10.122085
23165,23165,129.39583,143.625,24.903751,15.657085
137585,137585,75.933334,43.158333,23.34792,10.196668
9819,9819,79.083336,57.2875,26.382502,14.885836
68165,68165,55.4125,59.841667,24.416668,13.272084
84154,84154,49.2125,15.25,20.187502,6.6908345
106110,106110,74.995834,53.404167,23.620836,12.995419
46058,46058,47.158333,24.766666,19.161253,7.8716674
68881,68881,93.6875,77.5375,22.940002,12.382502
38301,38301,75.933334,43.158333,23.34792,10.196668
76009,76009,58.404167,37.416668,20.69292,9.9937525
21656,21656,53.054165,30.166666,21.995,8.930002
129528,129528,49.425,29.2625,22.544584,9.494167
133002,133002,71.09583,47.4125,21.183752,11.6083355
121012,121012,91.675,76.791664,25.683752,15.242919
127239,127239,93.6875,77.5375,22.940002,12.382502
7119,7119,54.4625,58.495834,24.615835,13.185419
101499,101499,50.429165,12.433333,21.046667,9.5666685
51009,51009,90.854164,109.645836,24.911253,12.369169
55175,55175,71.95417,46.75,23.772917,12.751252
122719,122719,72.583336,52.016666,22.053751,9.324585
82186,82186,66.80417,42.8625,23.877085,11.201251
72448,72448,102.36667,84.74167,23.203337,13.437502
72689,72689,50.945835,29.475,19.402086,8.450001
128034,128034,84.25833,88.566666,23.53667,13.384169
117140,117140,64.1,46.8375,21.514585,8.589585
51235,51235,93.6875,77.5375,22.940002,12.382502
33831,33831,55.4125,59.841667,24.416668,13.272084
33436,33436,92.4125,84.32083,22.891668,13.819168
62576,62576,49.283333,20.670834,20.109587,7.5875015
135685,135685,85.88333,100.78333,24.34292,12.884169
79663,79663,50.183334,14.625,20.688335,7.005002
57578,57578,52.120834,30.079166,22.21917,9.173751
140547,140547,74.995834,53.404167,23.620836,12.995419
15148,15148,53.795834,49.404167,24.751253,12.317919
79810,79810,95.708336,71.15833,19.020002,7.742085
1474,1474,98.225,123.95417,23.675005,13.557919
37781,37781,99.92083,83.95417,23.118336,13.356668
37717,37717,101.1,107.825,22.63042,12.505835
48832,48832,42.9875,14.15,22.222086,11.142501
129626,129626,86.65,72.57917,23.220001,12.527501
36332,36332,93.6875,77.5375,22.940002,12.382502
93189,93189,74.995834,53.404167,23.620836,12.995419
123032,123032,50.445835,12.0875,25.307503,10.767501
31999,31999,127.058334,146.24167,25.164167,14.186667
29568,29568,84.0375,76.6125,25.413754,13.908752
46081,46081,83.94583,73.35833,21.343754,12.088751
19762,19762,66.5875,51.4375,23.219584,10.418751
114717,114717,62.591667,32.65,18.068752,11.210835
101447,101447,62.6375,74.1875,20.113752,9.816252
102000,102000,74.995834,53.404167,23.620836,12.995419
22706,22706,49.675,18.916666,22.17625,10.730001
92697,92697,83.38333,76.2875,25.34417,13.602502
118197,118197,74.995834,53.404167,23.620836,12.995419
97159,97159,43.808334,23.791666,22.129585,8.473334
61292,61292,142.7875,141.1875,24.054586,13.075002
23670,23670,71.145836,39.975,26.417501,13.887085
4912,4912,137.86667,263.42084,33.109585,21.58125
60249,60249,62.570835,26.8875,24.704168,11.460419
18538,18538,99.02917,93.84167,25.628752,14.552503
109930,109930,74.995834,53.404167,23.620836,12.995419
64025,64025,93.6875,77.5375,22.940002,12.382502
112134,112134,74.995834,53.404167,23.620836,12.995419
86146,86146,74.995834,53.404167,23.620836,12.995419
75057,75057,57.841667,39.025,20.410002,9.628752
107810,107810,71.3875,37.004166,19.234585,6.0887513
9555,9555,70.2125,19.795834,20.525835,8.994584
103182,103182,138.0875,272.96667,32.925003,21.775835
52482,52482,58.395832,32.570835,18.34417,7.374585
18634,18634,55.4125,59.841667,24.416668,13.272084
31278,31278,93.6875,77.5375,22.940002,12.382502
61085,61085,93.6875,77.5375,22.940002,12.382502
129886,129886,74.995834,53.404167,23.620836,12.995419
58894,58894,93.6875,77.5375,22.940002,12.382502
117398,117398,59.075,21.325,23.830004,11.206668
70550,70550,40.6625,18.666666,22.9375,9.396252
64969,64969,159.16667,284.45834,27.316668,18.074167
12637,12637,70.71667,47.195835,21.115002,11.917086
138849,138849,74.995834,53.404167,23.620836,12.995419
2801,2801,72.34167,91.995834,19.23875,9.706668
61553,61553,47.6,13.679167,20.632917,7.010001
55728,55728,52.275,17.458334,20.246252,6.754585
68210,68210,75.933334,43.158333,23.34792,10.196668
38669,38669,54.483334,38.545834,18.141668,7.516251
70980,70980,64.166664,29.95,24.452503,11.425419
75415,75415,92.775,87.60833,26.03042,15.3583355
114059,114059,42.4875,14.495833,22.583752,10.3237505
65330,65330,84.27917,52.7,22.0,9.242918
23528,23528,62.125,36.575,26.40667,12.827501
133595,133595,52.120834,30.079166,22.21917,9.173751
34128,34128,61.616665,54.9875,17.71042,6.676668
80192,80192,121.145836,160.34166,24.933752,13.626668
9650,9650,46.2,8.729167,25.117502,10.606252
148311,148311,74.995834,53.404167,23.620836,12.995419
18651,18651,184.84584,317.74167,27.814585,18.79167
91629,91629,74.995834,53.404167,23.620836,12.995419
44125,44125,71.1125,23.495832,27.504585,16.785002
11616,11616,33.3375,7.3,21.513336,11.383335
27525,27525,67.370834,42.004166,21.011251,10.638335
16239,16239,94.36667,85.541664,22.942501,13.813752
93108,93108,75.40833,57.625,23.422916,12.930418
126570,126570,74.995834,53.404167,23.620836,12.995419
99734,99734,38.820835,5.5125,20.261251,9.8375025
104824,104824,62.733334,65.9,19.2675,8.751668
122659,122659,74.995834,53.404167,23.620836,12.995419
147804,147804,88.73333,97.54583,22.749584,12.572084
110744,110744,74.995834,53.404167,23.620836,12.995419
133667,133667,80.8125,83.02917,20.308332,8.603751
136025,136025,71.72083,34.395832,22.682919,10.355418
86763,86763,78.9,74.57917,22.644169,11.6466675
143052,143052,41.091667,13.366667,21.411251,11.485418
29238,29238,70.46667,38.3875,26.390837,13.633752
1876,1876,64.7,19.6625,20.590002,9.125418
133177,133177,81.479164,54.1,22.994585,11.523335
25767,25767,123.8125,245.30417,26.030003,15.373753
117173,117173,50.145832,22.066668,20.117918,9.272084
54990,54990,60.433334,58.445835,19.068335,10.422085
101631,101631,74.995834,53.404167,23.620836,12.995419
79597,79597,84.57083,68.85,23.484587,13.488336
44350,44350,85.791664,59.870834,22.810001,11.642502
147217,147217,71.00833,34.141666,19.266253,6.3362513
63591,63591,97.5125,116.808334,24.98042,13.544585
97349,97349,79.84167,21.841667,20.080006,9.012085
31205,31205,83.59167,140.2,21.877502,11.432085
115581,115581,74.995834,53.404167,23.620836,12.995419
145389,145389,61.404167,41.425,18.653337,8.759584
29967,29967,46.120834,20.079166,20.295002,7.757085
144752,144752,33.3375,7.3,21.513336,11.383335
91949,91949,80.9125,65.520836,23.243753,12.231252
55649,55649,70.17917,82.1375,19.233334,10.287085
125688,125688,80.9125,65.520836,23.243753,12.231252
10454,10454,49.675,18.916666,22.17625,10.730001
32263,32263,53.054165,33.504166,22.764584,8.337085
77073,77073,100.083336,85.9375,23.09917,13.542919
99724,99724,47.075,13.8625,20.592503,8.934168
137352,137352,85.46667,88.254166,23.584587,13.510001
145241,145241,137.65416,311.37918,28.879585,20.264168
142483,142483,58.208332,81.066666,18.668335,10.1987505
138488,138488,98.7,127.17083,23.598753,13.402085
73367,73367,64.65,30.725,20.954586,10.3375025
44945,44945,51.4375,36.933334,18.447502,7.1854177
82030,82030,74.995834,53.404167,23.620836,12.995419
123581,123581,74.995834,53.404167,23.620836,12.995419
114171,114171,58.045834,18.045834,20.678751,8.7525015
119490,119490,41.941666,18.141666,19.480835,8.571668
118638,118638,96.041664,124.49167,23.677088,13.214169
111292,111292,123.09583,143.31667,25.784586,14.678336
73479,73479,74.59167,64.475,19.180002,9.901252
74431,74431,55.4125,59.841667,24.416668,13.272084
6750,6750,63.8,136.55,21.591251,11.021253
117220,117220,75.3,43.95,20.468752,10.622501
132430,132430,89.1125,96.316666,22.746668,12.400418
138169,138169,51.933334,14.970834,25.362085,11.121251
52442,52442,84.4875,75.395836,25.44042,13.117503
34014,34014,66.4,115.1875,22.043755,12.396252
17624,17624,80.38333,131.23334,20.915003,12.738751
83496,83496,69.67083,48.295834,23.733753,11.4104185
92732,92732,93.42917,71.479164,22.954586,12.212919
24679,24679,63.116665,37.579166,21.315002,10.725834
102894,102894,58.9125,24.454166,22.2675,7.642501
63251,63251,48.216667,25.0375,19.325418,8.128752
32995,32995,48.6375,12.604167,20.778751,10.460834
46130,46130,102.92917,146.09166,24.700005,13.064168
87093,87093,85.45,84.870834,22.635418,12.5425005
88137,88137,70.97083,69.629166,19.884169,8.8375025
94776,94776,84.4875,75.395836,25.44042,13.117503
22675,22675,93.6875,77.5375,22.940002,12.382502
114857,114857,20.316668,0.0,24.157084,10.281252
142576,142576,35.166668,12.1125,23.093754,9.264169
90075,90075,89.19583,65.25833,22.839588,12.062085
142210,142210,105.4875,109.895836,14.150835,3.2475011
79937,79937,74.995834,53.404167,23.620836,12.995419
99573,99573,30.995832,5.7833333,22.940836,9.273752
30270,30270,36.379166,21.525,17.528334,6.399168
18505,18505,61.704166,32.545834,26.479586,13.049169
78827,78827,73.57917,68.15,24.029585,12.727085
147339,147339,92.4,103.5,25.155834,14.203752
47846,47846,52.120834,30.079166,22.21917,9.173751
140081,140081,48.716667,16.533333,19.410002,6.081251
132067,132067,46.170834,18.941668,19.782919,8.787501
145105,145105,88.9875,90.6625,24.89292,13.250418
96835,96835,21.191668,0.041666668,24.373333,10.5041685
122328,122328,94.92917,86.88333,23.093334,13.965002
104865,104865,34.054165,7.975,21.768751,11.29542
124126,124126,93.6875,77.5375,22.940002,12.382502
43523,43523,87.566666,135.95833,19.573753,8.507918
113931,113931,62.416668,61.708332,19.383753,8.772502
22770,22770,46.720833,29.020834,19.735003,7.4941683
97322,97322,38.891666,20.870832,21.253752,12.077502
49689,49689,114.45417,133.55,23.985836,13.402919
129366,129366,69.67083,48.295834,23.733753,11.4104185
95222,95222,63.4125,21.516666,21.104586,7.4766684
4122,4122,93.6875,77.5375,22.940002,12.382502
86670,86670,88.73333,97.54583,22.749584,12.572084
58231,58231,142.7875,141.1875,24.054586,13.075002
93093,93093,74.995834,53.404167,23.620836,12.995419
11048,11048,60.866665,28.929167,20.71417,9.745419
112030,112030,66.95,45.454166,16.077917,4.059168
146912,146912,85.291664,76.26667,23.40667,13.211669
24447,24447,51.6625,15.4375,20.740837,6.970001
131988,131988,79.4625,48.466667,16.970419,5.9179177
127997,127997,99.92083,83.95417,23.118336,13.356668
10327,10327,49.866665,15.079166,20.684168,7.0200014
98828,98828,53.845833,24.783333,19.072918,6.180835
26000,26000,106.40417,159.95833,12.947919,2.322501
114492,114492,37.029167,4.054167,20.110003,9.821252
65660,65660,72.03333,39.795834,23.56792,10.306669
131804,131804,49.6,49.754166,19.77625,7.495418
104344,104344,36.141666,9.620833,21.570835,11.440002
18030,18030,98.6,84.666664,22.68667,12.565836
128279,128279,47.691666,26.241667,20.063334,7.7129183
123322,123322,74.995834,53.404167,23.620836,12.995419
48932,48932,134.38333,132.34584,24.946667,13.5650015
100012,100012,93.6875,77.5375,22.940002,12.382502
93852,93852,74.995834,53.404167,23.620836,12.995419
64837,64837,118.229164,143.725,25.138754,14.642085
3750,3750,99.7375,105.8375,24.784584,14.704586
130043,130043,74.995834,53.404167,23.620836,12.995419
148372,148372,37.683334,3.6583333,20.199585,10.229584
65715,65715,65.558334,34.845833,24.090418,11.856669
95807,95807,103.316666,119.67917,22.806252,10.326251
114464,114464,38.820835,5.5125,20.261251,9.8375025
76456,76456,98.6,84.666664,22.68667,12.565836
145289,145289,60.591667,32.629166,20.317501,9.110836
99431,99431,83.50833,84.80417,23.451254,13.126251
1277,1277,69.82083,40.570835,23.81125,12.059585
60341,60341,57.875,50.458332,19.245003,10.200835
53442,53442,92.4125,84.32083,22.891668,13.819168
87763,87763,80.2375,66.770836,21.307919,11.744169
87280,87280,93.6875,77.5375,22.940002,12.382502
79017,79017,47.3125,25.658333,22.051252,9.072084
60212,60212,43.295834,9.6125,19.419584,10.385418
62833,62833,90.1875,88.3875,23.345835,13.765418
122687,122687,138.88333,178.2375,23.456251,13.670001
142531,142531,61.270832,30.041666,18.432085,11.786668
47321,47321,36.045834,9.75,21.25042,11.465002
85928,85928,60.683334,33.495834,24.252085,11.833752
69538,69538,112.875,145.07916,25.614584,15.475002
67732,67732,97.85833,105.96667,21.435421,10.652502
89157,89157,62.725,32.125,23.983334,10.738751
32325,32325,98.6,84.666664,22.68667,12.565836
18983,18983,63.816666,32.0,24.050419,10.797502
50331,50331,70.916664,53.933334,23.352917,12.362085
115725,115725,98.6,84.666664,22.68667,12.565836
110766,110766,85.1375,137.0,22.030834,12.470836
124203,124203,80.7125,72.30417,19.892086,6.884585
105952,105952,78.725,58.829166,22.514585,10.988336
117967,117967,80.9125,65.520836,23.243753,12.231252
89596,89596,114.45417,133.55,23.985836,13.402919
80098,80098,60.404167,27.2,20.322918,7.069585
49244,49244,102.691666,105.495834,24.387918,13.637085
104848,104848,38.958332,13.3125,21.008753,11.836668
110984,110984,59.7,57.05,20.195835,10.172085
76332,76332,30.320833,4.7708335,23.062502,9.477502
113663,113663,48.216667,14.691667,21.237085,9.014169
56562,56562,61.033333,48.329166,20.152918,9.322501
5623,5623,66.925,36.604168,17.732504,6.493751
98837,98837,86.65,72.57917,23.220001,12.527501
93523,93523,66.80417,42.8625,23.877085,11.201251
27234,27234,99.3375,128.66667,23.459587,10.912502
42886,42886,58.379166,11.558333,22.725836,7.7266684
59292,59292,128.86667,129.69167,25.041668,13.351252
3790,3790,85.416664,58.104168,21.33042,8.809169
20293,20293,75.933334,43.158333,23.34792,10.196668
84248,84248,72.075,47.7625,21.170418,11.310419
7889,7889,94.65417,78.17917,23.082085,12.511669
2406,2406,61.920834,68.72083,19.267918,8.853334
44327,44327,51.3625,18.3,21.687502,10.463751
24486,24486,90.520836,137.69583,23.75167,12.805002
125100,125100,79.870834,74.9875,17.26167,6.2408347
35606,35606,107.4875,166.70833,29.314583,19.368752
30399,30399,51.445835,15.925,21.000834,7.123335
59557,59557,101.1,107.825,22.63042,12.505835
29646,29646,51.858334,17.270834,19.590418,6.106668
65103,65103,62.4125,19.279167,24.453753,8.595835
146911,146911,101.96667,87.89167,22.715002,12.801668
118827,118827,102.254166,110.979164,24.69417,14.761252
31812,31812,66.854164,68.09167,20.416252,9.952918
128822,128822,74.995834,53.404167,23.620836,12.995419
10054,10054,162.37917,290.85,27.798336,18.738337
114153,114153,36.570835,14.6875,22.686253,9.517918
43002,43002,114.1,131.8125,25.672085,16.183336
57787,57787,65.36667,39.045834,23.748335,11.422918
139372,139372,69.925,87.51667,19.12292,10.126251
144789,144789,74.94583,74.4125,20.442085,7.815001
3556,3556,85.82083,126.566666,21.837086,13.299585
113983,113983,53.695835,20.283333,21.96375,10.229169
7972,7972,88.73333,97.54583,22.749584,12.572084
119576,119576,74.995834,53.404167,23.620836,12.995419
89951,89951,97.17083,123.729164,23.744585,13.388334
56367,56367,51.604168,13.975,20.955835,9.622919
105007,105007,70.2125,19.795834,20.525835,8.994584
38372,38372,56.025,41.758335,18.11375,7.515418
61709,61709,48.216667,25.0375,19.325418,8.128752
125445,125445,99.92083,83.95417,23.118336,13.356668
84229,84229,95.07083,124.8125,23.421253,13.481252
131320,131320,45.325,19.695833,17.510836,4.0445848
60005,60005,59.583332,32.691666,16.855001,7.582918
121515,121515,55.829166,28.104166,20.63167,10.664168
46497,46497,65.8125,40.2375,26.74042,13.549168
48407,48407,99.45,84.875,22.971252,12.827917
34968,34968,50.429165,14.720834,20.669586,6.998335
147406,147406,74.995834,53.404167,23.620836,12.995419
123432,123432,85.1375,137.0,22.030834,12.470836
6130,6130,50.504166,17.6375,20.595419,8.370001
146141,146141,70.3,19.683332,20.349585,8.370419
101342,101342,38.116665,15.329166,22.595835,9.505418
27322,27322,57.725,101.70417,23.83625,11.279169
144583,144583,86.7625,66.770836,18.429586,7.3783345
77866,77866,60.920834,61.029167,19.587502,10.053334
92952,92952,53.15,15.191667,20.900837,7.0883346
86489,86489,94.07083,77.29583,22.700834,12.2125025
52230,52230,87.51667,72.2625,25.544168,15.422502
90061,90061,62.420834,39.966667,28.797503,17.225002
19866,19866,84.40833,71.0875,25.727503,13.309169
46208,46208,101.1,107.825,22.63042,12.505835
27372,27372,90.475,234.73334,28.829586,19.02542
14663,14663,53.795834,49.404167,24.751253,12.317919
78188,78188,152.09584,150.36667,22.269585,11.354169
85784,85784,74.995834,53.404167,23.620836,12.995419
147528,147528,93.791664,128.64166,18.545002,6.437085
126934,126934,100.083336,85.9375,23.09917,13.542919
4736,4736,64.0625,19.15,20.920837,8.818335
110547,110547,74.995834,53.404167,23.620836,12.995419
115668,115668,74.995834,53.404167,23.620836,12.995419
198,198,88.01667,80.916664,22.774586,13.5770855
128053,128053,62.983334,22.216667,20.43167,6.8933344
84009,84009,74.995834,53.404167,23.620836,12.995419
67933,67933,60.625,42.8625,16.755001,6.990001
60930,60930,69.745834,84.725,19.051668,10.205418
28453,28453,55.4125,59.841667,24.416668,13.272084
65160,65160,112.875,145.07916,25.614584,15.475002
96357,96357,61.779167,18.8125,21.145002,8.990418
31304,31304,119.208336,236.56667,25.716671,14.725418
134237,134237,74.995834,53.404167,23.620836,12.995419
5650,5650,93.6875,77.5375,22.940002,12.382502
121498,121498,78.825,130.30833,19.612085,8.722502
27520,27520,82.691666,64.379166,26.118336,14.889169
94825,94825,86.55,63.891666,22.757084,11.690418
105634,105634,72.075,47.7625,21.170418,11.310419
114274,114274,58.045834,18.045834,20.678751,8.7525015
143783,143783,74.995834,53.404167,23.620836,12.995419
52707,52707,206.09166,296.52917,28.915003,20.180836
40029,40029,142.7875,141.1875,24.054586,13.075002
146128,146128,46.2125,22.245832,20.075834,12.106251
96131,96131,36.875,10.620833,22.853334,11.540835
97852,97852,101.083336,86.77917,22.905418,13.182919
78348,78348,49.083332,25.891666,19.355835,8.222085
112999,112999,74.995834,53.404167,23.620836,12.995419
75915,75915,52.529167,38.8,18.425,7.2291675
